Sample;X(ms) [22.03.2026 15:55:44 279 UTC];"Int_R_deseado[%MD70]";"Int_R_Real[%MD74]";"Int_G120[%MD58]";"Int_ST_FC11[%MD78]";"FT10_Int[%MD22]";"FT11_Int[%MD26]"
343;1774194978670,025608;250;-8388608;148;0;0;-12
344;1774194978770,025728;250;-8388608;150;0;0;-12
345;1774194978870,016088;250;-8388608;151;0;0;-12
346;1774194978970,016408;250;-8388608;152;0;0;-12
347;1774194979070,024880;250;-8388608;152;0;0;-12
348;1774194979170,024520;250;-8388608;153;0;-14;-12
349;1774194979270,025856;250;800;148;-4;0;-12
350;1774194979370,020944;250;-8388608;153;0;0;-12
351;1774194979470,024488;250;-8388608;154;0;0;-12
352;1774194979570,031816;250;-8388608;154;0;0;-12
353;1774194979670,024880;250;-8388608;154;0;0;-14
354;1774194979770,025136;250;-8388608;202;0;0;-14
355;1774194979870,016040;250;-8388608;188;0;0;-14
356;1774194979970,016928;250;-8388608;178;0;0;-9
357;1774194980070,016512;250;-8388608;76;0;0;-12
358;1774194980170,023352;250;-8388608;149;0;0;-12
359;1774194980270,016896;250;-8388608;151;0;0;-12
360;1774194980370,021648;250;-8388608;153;0;0;-12
361;1774194980470,023720;250;-8388608;154;0;0;-12
362;1774194980570,014432;250;-8388608;154;0;0;-12
363;1774194980670,014576;250;-8388608;155;0;0;-12
364;1774194980770,021752;250;-8388608;155;0;0;-14
365;1774194980870,017304;250;-8388608;204;0;0;-12
366;1774194980970,025168;250;-8388608;141;0;0;-12
367;1774194981070,024008;250;-8388608;146;0;0;-12
368;1774194981170,024376;250;-8388608;150;0;0;-12
369;1774194981270,021896;250;-8388608;152;0;0;-12
370;1774194981370,021360;250;-8388608;154;0;0;-9
371;1774194981470,016760;250;-8388608;107;0;0;-9
372;1774194981570,032128;250;-8388608;122;0;0;-12
373;1774194981670,015472;250;-8388608;180;0;-3;-12
374;1774194981770,013552;250;4000;171;-1;0;-14
375;1774194981870,026848;250;-8388608;215;0;-3;-14
376;1774194981970,031168;250;5000;197;-1;-3;-12
377;1774194982070,021144;250;4000;137;-1;0;-12
378;1774194982170,022968;250;-8388608;145;0;0;-9
379;1774194982270,023704;250;-8388608;101;0;0;-9
380;1774194982370,016952;250;-8388608;119;0;0;-12
381;1774194982470,016000;250;-8388608;178;0;0;-14
382;1774194982570,026888;250;-8388608;220;0;0;-6
383;1774194982670,031048;250;-8388608;57;0;0;-6
384;1774194982770,024504;250;-8388608;88;0;0;-9
385;1774194982870,021504;250;-8388608;156;0;0;-12
386;1774194982970,016800;250;-8388608;203;0;0;-12
387;1774194983070,014344;250;-8388608;188;0;1343;-12
388;1774194983170,015864;250;-9;661;336;2179;-12
389;1774194983270,022192;250;-5;959;545;2179;-12
390;1774194983370,231184;250;-5;961;545;3038;-12
391;1774194983470,017248;250;-4;1274;760;3918;-12
392;1774194983570,021144;250;-3;1597;979;4809;-12
393;1774194983670,030192;250;-2;1929;1202;4809;-12
394;1774194983770,025496;250;-2;1943;1202;5663;-14
395;1774194983870,020928;250;-3;2312;1416;6470;-14
396;1774194983970,024344;250;-2;2605;1617;7240;-14
397;1774194984070,017072;250;-2;2893;1810;7240;-12
398;1774194984170,022504;250;-2;2861;1810;7969;-12
399;1774194984270,022064;250;-1;3156;1992;8669;-12
400;1774194984370,017208;250;-1;3439;2167;9346;-12
401;1774194984470,025464;250;-1;3714;2337;9346;-12
402;1774194984570,014240;250;-1;3747;2337;9986;-12
403;1774194984670,021880;250;-1;4008;2496;10602;-12
404;1774194984770,022616;250;-1;4262;2650;11215;-12
405;1774194984870,024256;250;-1;4517;2804;11215;-12
406;1774194984970,028776;250;-1;4553;2804;11837;-12
407;1774194985070,021584;250;-1;4812;2959;12436;-14
408;1774194985170,022472;250;-1;5113;3109;13001;-14
409;1774194985270,029040;250;-1;5341;3250;13550;-14
410;1774194985370,014792;250;-1;5570;3388;13550;-9
411;1774194985470,030728;250;-1;5510;3388;14089;-6
412;1774194985570,015248;250;0;5723;3522;14621;-12
413;1774194985670,024480;250;-1;6086;3655;15142;-12
414;1774194985770,022792;250;-1;6311;3785;15142;-12
415;1774194985870,021424;250;-1;6353;3785;15651;-12
416;1774194985970,040392;250;-1;6580;3913;16149;-14
417;1774194986070,025608;250;-1;6854;4037;16632;-14
418;1774194986170,032360;250;-1;7062;4158;16632;-14
419;1774194986270,025448;250;-1;7104;4158;17095;-12
420;1774194986370,021376;250;-1;7268;4274;17543;-12
421;1774194986470,015760;250;-1;7493;4386;17983;-12
422;1774194986570,017280;250;-1;7713;4496;17983;-12
423;1774194986670,017032;250;-1;7774;4496;18417;-12
424;1774194986770,016904;250;-1;7989;4604;18843;-9
425;1774194986870,024792;250;0;8154;4711;19233;-9
426;1774194986970,021552;250;0;8370;4808;19233;-12
427;1774194987070,016056;250;-1;8489;4808;19621;-12
428;1774194987170,015728;250;-1;8681;4905;20003;-12
429;1774194987270,016024;250;-1;8875;5001;20382;-12
430;1774194987370,016296;250;-1;9071;5095;20382;-14
431;1774194987470,021000;250;-1;9182;5095;20744;-14
432;1774194987570,254112;250;-1;9360;5186;21102;-12
433;1774194987670,017200;250;-1;9496;5276;21453;-12
434;1774194987770,016936;250;-1;9696;5363;21800;-12
435;1774194987870,015960;250;-1;9893;5450;21800;-12
436;1774194987970,021768;250;-1;9965;5450;22135;-9
437;1774194988070,014072;250;0;10109;5534;22462;-17
438;1774194988170,022800;250;-1;10456;5616;22784;-17
439;1774194988270,027368;250;-1;10610;5696;22784;-17
440;1774194988370,021176;250;-1;10660;5696;23090;-14
441;1774194988470,021480;250;-1;10780;5773;23394;-12
442;1774194988570,015024;250;0;10919;5849;23686;-12
443;1774194988670,017176;250;0;11115;5922;23686;-12
444;1774194988770,016288;250;0;11202;5922;23973;-12
445;1774194988870,024360;250;0;11387;5993;24256;-12
446;1774194988970,028864;250;0;11570;6064;24525;-12
447;1774194989070,016008;250;0;11747;6131;24525;-12
448;1774194989170,015712;250;0;11827;6131;24786;-12
449;1774194989270,016264;250;0;11999;6196;25043;-12
450;1774194989370,023920;250;0;12171;6261;25298;-12
451;1774194989470,022560;250;0;12342;6325;25298;-14
452;1774194989570,013168;250;-1;12470;6325;25541;-14
453;1774194989670,026144;250;-1;12624;6385;25784;-12
454;1774194989770,016120;250;0;12734;6446;26016;-12
455;1774194989870,024880;250;0;12907;6504;26253;-12
456;1774194989970,016240;250;0;13080;6563;26253;-12
457;1774194990070,016400;250;0;13166;6563;26476;-12
458;1774194990170,017176;250;0;13332;6619;26693;-12
459;1774194990270,021632;250;0;13495;6673;26898;-12
460;1774194990370,027784;250;0;13654;6725;26898;-14
461;1774194990470,016752;250;-1;13788;6725;27101;-12
462;1774194990570,015792;250;0;13883;6775;27303;-17
463;1774194990670,016048;250;-1;14143;6826;27491;-17
464;1774194990770,015528;250;-1;14271;6873;27491;-9
465;1774194990870,021736;250;0;14197;6873;27682;-12
466;1774194990970,013504;250;0;14433;6921;27865;-6
467;1774194991070,024072;250;0;14497;6966;28047;-6
468;1774194991170,026472;250;0;14684;7012;28047;-17
469;1774194991270,021384;250;-1;14986;7012;28229;-12
